eleccion,codigo_localidad,localidad,nombre_puesto,votos_totales,votos_ph,pct_ph,sitio_oficial,direccion,latitud,longitud
Alcaldía 2023,00,NACIONAL,CARCEL DISTRITAL,144,67,46.53,,,,
Alcaldía 2023,00,NACIONAL,CARCEL DISTRITAL JUDICIAL MODELO,98,21,21.43,,,,
Alcaldía 2023,00,NACIONAL,PENITENCIARIA LA PICOTA,206,59,28.64,,,,
Alcaldía 2023,00,NACIONAL,PUESTO CENSO(FERIA EXPOSICION),27399,5150,18.8,,,,
Alcaldía 2023,00,NACIONAL,RECLUSION DE MUJERES EL BUEN PASTOR,38,8,21.05,,,,
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,ALESSANDRO VOLTA,5033,298,5.92,Colegio Alessandro Volta,CLL 119 # 4 - 79,4.694216800000049,-74.02790711999995
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,ANGLO AMERICANO,2776,264,9.51,Colegio Anglo Americano,CLL 170 # 8 - 80 /CLL 170 # 8 - 70,4.747961740000051,-74.02898538999995
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,BUENAVISTA,3677,668,18.17,Colegio Distrital Nuevo Horizonte Sede A,CRA 5 B # 189 B - 30,4.766856690000054,-74.02579166999993
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,CALAZANS,5141,605,11.77,,,,
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,CANAIMA,1785,218,12.21,Vía pública,CLL 195 # 19 - 50 Vía Pública / CLL 195 # 20 - 91 Vía Pública,4.772747020000054,-74.04098847999995
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,CARULLA 140,4688,307,6.55,Almacén Carulla CLL 140 - Parqueadero,CRA 11  # 140 - 20 /CLL 140 # 11 - 20,4.71926086000002,-74.03542253999996
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,CEDRO GOLF,6339,622,9.81,Parque Cedro Golf,CRA 7 A # 150 - 85,4.725494390000051,-74.02642591999995
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,CENTRO COMERCIAL BELAIRE PLAZA,1447,165,11.4,Centro Comercial Belaire Plaza,CRA 7 # 152 - 54,4.72691406000007,-74.02445669999997
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,CENTRO COMERCIAL CEDRITOS 151,12037,939,7.8,Parqueadero Centro Comercial Cedritos 151,CLL 150 # 16 - 56,4.7314900900000225,-74.04181592999998
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,CENTRO COMERCIAL HACIENDA SANTA BARBARA,7967,334,4.19,Centro Comercial Hacienda Santa Bárbara,CLL 114 CRA 6 Entrada Zona C /CRA 6 # 115 - 65 Entrada F,4.692593030000069,-74.03165672999995
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,CENTRO COMERCIAL PALATINO,6791,420,6.18,Centro Comercial Palatino,CRA 7 # 138 - 33,4.715298940000025,-74.02903810999999
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,CENTRO COMERCIAL UNICENTRO,16886,716,4.24,Parqueadero Unicentro,AV CRA 15 # 124 - 30,4.7023787700000526,-74.04262499999999
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,COLEGIO AGUSTIN FERNANDEZ SEDE A,5925,832,14.04,Colegio Distrital Agustín Fernández - Sede A,CRA 7 # 155 - 20,4.7295440200000485,-74.02379497999993
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,COLEGIO AQUILEO PARRA SEDE BACHILLERATO,7888,1205,15.28,Colegio Distrital Aquileo Parra,CRA 18 A # 187 - 75 /CRA 18 A # 187 - 97,4.766259870000056,-74.03911764999998
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,COLEGIO BUEN CONSEJO,6506,230,3.54,Colegio Buen Consejo,CLL 104 # 17 - 22entrada por la CLL 105 con CRA 17,4.68997384000005,-74.04904848999996
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,COLEGIO CAMPESTRE SAN JOSE,3542,184,5.19,Colegio Campestre San José,CLL 128 B # 20 - 80,4.7132078200000365,-74.04955777999999
Alcaldía 2023,01,LOCALIDAD 1 USAQUEN,COLEGIO CARDENAL SANCHA,3619,171,4.73,Colegio Cardenal Sancha,CLL 127 B Bis # 21 - 02,4.709756000000027,-74.05093978999997
